Size,Time,STnodes,Ops
5,53481,1,39
10,60826,6,376
15,100881,11,1036
20,155562,20,2149
25,463146,37,4117
30,454172,68,8334
35,593895,114,14782
40,1532946,224,30850
45,2450015,395,57472
50,3318395,741,112338
55,5553706,1319,208549
60,7998734,2315,382972
65,12347614,3786,647686
70,28251041,8265,1471200
75,52278730,15912,2934981
80,86452206,24733,4696857
85,179347387,49292,9648421
90,295430365,80352,16126897
95,642923985,166603,34592666
100,1168795747,299946,63552223
