Size,Time,STnodes,Ops
5,1369,1,34
10,8916,4,210
15,19349,8,502
20,36491,12,900
25,73045,24,1876
30,139531,43,3667
35,357825,80,7239
40,492628,128,12329
45,718827,209,21446
50,1119865,385,41271
55,1998513,651,74061
60,4217131,1335,157792
65,5961603,1836,226644
70,11999301,3654,465250
75,23090914,6833,902800
80,37954285,10816,1482128
85,85513375,23825,3379833
90,169292195,46443,6739065
95,279031623,74452,11071422
100,370124658,96644,14748205
