Size,Time,STnodes,Ops
5,90808,2,48
10,41004,4,143
15,84223,8,356
20,82509,14,672
25,98200,21,1190
30,161847,35,2141
35,226345,58,3725
40,406761,85,5906
45,681750,134,9774
50,943442,195,15164
55,1461065,341,27481
60,1730308,463,39332
65,3387937,729,64971
70,3523540,1109,103072
75,5727240,1791,170740
80,8331527,2493,247127
85,12252916,3545,366353
90,18388604,5183,548751
95,29519361,7923,858146
100,48098436,12914,1428211
