Size,Time,STnodes,Ops
5,2175,2,48
10,18837,6,255
15,38649,13,640
20,77990,26,1435
25,109893,46,2911
30,177254,82,5683
35,325362,139,10476
40,627776,249,19993
45,1141922,432,37359
50,2008764,740,67383
55,3511413,1259,120745
60,6109985,2140,214748
65,11497225,3838,402023
70,19723682,6291,687635
75,35452467,10863,1224254
80,61232648,18595,2158213
85,107618126,31232,3744051
90,186946349,53150,6553555
95,332294012,93384,11897709
100,588652826,162870,21106430
