Size,Time,STnodes,Ops
5,49707,2,48
10,82402,12,767
15,217863,17,1993
20,353582,38,4272
25,388971,76,9281
30,656993,153,19982
35,1374826,289,39963
40,2407063,552,80589
45,4296622,1092,167926
50,5777227,2028,327391
55,11427584,3858,650001
60,22668041,7438,1307209
65,43522402,13960,2533466
70,82366636,25659,4834942
75,163109053,49609,9674663
80,336287987,100335,20148820
85,615653471,179027,36970098
90,1173321573,335512,71169242
95,2286731628,638917,138838495
100,4413719566,1191919,265372061
