Size,Time,STnodes,Ops
5,2017,2,48
10,6165,4,143
15,14293,8,356
20,25536,14,683
25,47103,23,1247
30,78967,37,2178
35,140100,59,3827
40,202328,85,5883
45,331691,133,9737
50,523997,201,15593
55,811059,300,24404
60,1332311,480,40512
65,2243061,768,68093
70,3276800,1096,100532
75,4978351,1582,152318
80,7855215,2443,241211
85,11896330,3561,365497
90,21861916,6428,675016
95,30816361,8791,949370
100,44821645,12345,1378795
