Size,Time,STnodes,Ops
5,1289,2,48
10,9729,6,260
15,21322,13,651
20,44355,25,1395
25,89204,46,2912
30,167713,81,5619
35,327033,143,10838
40,586210,251,20427
45,1065586,431,37104
50,1937256,756,68609
55,3420509,1269,121872
60,6045907,2172,217006
65,10738469,3660,385450
70,18724866,6222,675697
75,34105034,10979,1238131
80,57029216,17851,2069668
85,110630898,33716,4036258
90,175510169,51387,6397303
95,324406524,93389,11858350
100,557992308,156591,20431691
