Size,Time,STnodes,Ops
5,1403,2,48
10,11602,9,495
15,30595,20,1256
20,72122,42,3020
25,161193,87,6914
30,354069,179,15405
35,732008,347,32478
40,1546569,686,68827
45,3240865,1368,145261
50,6688114,2707,304239
55,13490674,5209,615604
60,27683313,10348,1274803
65,56922527,20535,2633706
70,117208249,40806,5438539
75,237700516,80547,11085586
80,455951112,149550,21313666
85,941703272,299208,44157521
90,1851612933,573558,87003715
95,3852941388,1150201,179096303
100,8369524954,2421289,386233380
