Size,Time,STnodes,Ops
5,1324,2,48
10,10739,7,367
15,27963,17,956
20,62564,36,2276
25,133731,71,5025
30,268324,129,10093
35,554510,260,21863
40,1123862,486,44193
45,2125622,889,85399
50,4224922,1685,170762
55,8057232,3095,330302
60,16554947,6120,681223
65,33380618,11863,1385362
70,63582635,21806,2643513
75,122926117,40869,5132810
80,231410638,74719,9684962
85,419290932,130885,17559785
90,828384857,251014,34662057
95,1681362821,499799,70882291
100,3156697573,904748,131551859
