Size,Time,STnodes,Ops
5,1691,0,24
10,3396,0,50
15,4797,1,84
20,4533,0,88
25,7438,2,179
30,8161,2,193
35,11975,3,295
40,11664,2,285
45,12792,2,314
50,15941,3,395
55,22419,5,570
60,24903,6,631
65,41511,10,1070
70,42507,10,1098
75,54322,14,1470
80,48321,11,1275
85,53393,12,1427
90,53900,11,1434
95,79804,17,1948
100,76086,16,2017
