Size,Time,STnodes,Ops
5,1418,1,32
10,6686,3,193
15,14915,8,523
20,31004,16,1136
25,47420,22,1732
30,72946,32,2715
35,162532,69,6241
40,318547,128,12614
45,715967,278,28603
50,1079820,404,43380
55,1956646,709,79301
60,3201261,1101,130232
65,7424218,2502,307152
70,14072166,4581,586006
75,20163658,6350,844012
80,34660592,10703,1454927
85,53367422,16010,2265488
90,109591960,32069,4633592
95,246272212,69940,10447672
100,370564390,103554,15851467
