Size,Time,STnodes,Ops
5,1252,1,29
10,3649,1,83
15,7519,3,201
20,9581,4,255
25,17411,7,489
30,26119,10,739
35,27076,9,777
40,54446,20,1627
45,85729,30,2599
50,116523,40,3549
55,130865,42,4062
60,226297,73,7162
65,417976,125,12844
70,563321,173,18212
75,838738,249,26473
80,708187,204,22832
85,1415096,399,46112
90,1620443,443,52828
95,2764377,734,91280
100,4819391,1258,159693
