Size,Time,STnodes,Ops
5,951,1,28
10,5245,3,158
15,11026,5,337
20,19260,9,616
25,41250,19,1356
30,58427,25,1963
35,87889,36,2973
40,153374,61,5330
45,290453,111,10288
50,526720,178,17560
55,813164,286,29179
60,1579444,544,57647
65,1836785,622,68272
70,3360201,1085,125289
75,6875224,2146,256571
80,10945949,3310,407642
85,15110168,4429,566170
90,31590875,9078,1200360
95,35078898,9823,1320784
100,87622253,23972,3332922
