Size,Time,STnodes,Ops
5,1542,2,48
10,23679,6,252
15,36036,13,629
20,101264,24,1393
25,172229,48,3003
30,265485,80,5564
35,498403,142,10638
40,895069,248,20006
45,1280555,436,37572
50,2094544,724,66104
55,3733438,1285,123712
60,6322674,2154,215485
65,11128425,3615,378138
70,20769734,6462,702123
75,36100377,10969,1237732
80,67165547,18393,2146604
85,106779917,31336,3753219
90,184238883,52041,6468553
95,328976878,90717,11587908
100,531979792,144196,18769374
