Size,Time,STnodes,Ops
5,1878,2,48
10,26513,8,369
15,46954,17,963
20,87426,35,2264
25,142601,66,4768
30,285981,127,9990
35,633090,267,22518
40,1205077,481,43549
45,3376575,939,89704
50,4841237,1748,177002
55,8983245,3174,341200
60,18202672,6214,695454
65,34556512,11455,1330945
70,70340297,22458,2718137
75,127143828,39498,4937090
80,242975066,72729,9438773
85,481705065,140458,18782959
90,930115376,264107,36333751
95,1737123230,481139,68005048
100,3239256172,865678,125974205
