Size,Time,STnodes,Ops
5,41573,2,48
10,57016,4,145
15,153010,9,378
20,70205,13,676
25,96362,23,1258
30,309779,36,2131
35,234541,59,3796
40,534077,87,6018
45,668613,136,9898
50,1064986,203,15757
55,1493841,327,26446
60,2143144,473,40469
65,3089392,719,63916
70,3576786,1104,101799
75,5723260,1663,158255
80,8994886,2559,251859
85,15428132,3645,376546
90,19705953,5353,558493
95,31199123,8641,935909
100,44824632,11810,1322695
