Size,Time,STnodes,Ops
5,29692,2,48
10,118130,11,762
15,247347,17,2003
20,171073,38,4260
25,320531,77,9295
30,595286,150,19646
35,1298316,291,40487
40,2386078,551,80233
45,3970776,1094,168202
50,5843837,2127,343224
55,11193284,3961,668369
60,21481073,7387,1295751
65,39240429,13087,2383118
70,84640877,27506,5188390
75,165415476,52264,10177633
80,312968501,96711,19398616
85,598179284,180625,37215989
90,1110206780,327153,69457982
95,2208395343,638873,139057075
100,4208591868,1177737,261970112
