Size,Time,STnodes,Ops
5,1508,2,48
10,13104,9,497
15,32806,20,1245
20,77403,41,2948
25,167045,82,6582
30,378988,174,15133
35,776024,339,31798
40,1605484,660,66122
45,3551793,1391,148162
50,7401357,2785,311448
55,15318265,5542,650609
60,29393791,10087,1244478
65,62158003,20776,2665646
70,124793807,40213,5367691
75,250993009,78191,10820502
80,495534333,150071,21418377
85,1056265494,310615,45941722
90,2013077363,572511,86855720
95,4318107151,1197512,185417976
100,8949315256,2368501,377897325
