Size,Time,STnodes,Ops
5,11811,0,25
10,38796,1,87
15,17996,3,179
20,146578,5,328
25,63839,7,539
30,78778,9,665
35,105489,12,928
40,394297,24,1952
45,499162,26,2238
50,314925,41,3625
55,459751,40,3879
60,977713,88,8592
65,907544,83,8386
70,1095047,130,13471
75,1607427,290,31253
80,1767639,279,30967
85,2746110,413,48214
90,3444652,577,67284
95,3768657,954,114743
100,5128212,1322,164079
