Size,Time,STnodes,Ops
5,43221,0,20
10,37142,0,47
15,31883,1,75
20,28849,1,107
25,33999,1,156
30,44036,2,199
35,43027,2,218
40,69684,3,341
45,112200,2,316
50,63233,4,441
55,89831,6,646
60,76358,4,552
65,132267,7,794
70,74924,5,690
75,71847,7,827
80,83947,8,1080
85,108302,11,1409
90,126219,13,1633
95,198781,23,2640
100,312815,18,2257
