Size,Time,STnodes,Ops
5,1492,1,31
10,20402,3,167
15,21362,4,265
20,44235,7,502
25,82560,18,1294
30,109655,27,2144
35,174601,41,3486
40,247984,64,5552
45,422378,130,12064
50,571318,196,19183
55,1015709,332,34261
60,1015079,317,34022
65,3118367,905,101315
70,2550503,765,88192
75,8255196,2395,289121
80,11042839,3096,385070
85,24344532,6716,858137
90,36922629,9888,1302536
95,65281444,16634,2261481
100,90865406,22787,3154580
